video_name,dur,W,H,FPS,f0,f,f0_sess,student_codes,bbox_gt,act_gt,fn_gt,bbox_alg,act_alg,fn_alg,cf_label,IOU
G-C1L1P-Apr13-C-Windy_q2_01-07_30fps.mp4,0,858,480,30,0,30,0,Marina15P:Cindy14P:Carmen13P:Marta12P,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,TN:TN:TN:TN,0.0: 0.0: 0.0: 0.0
G-C1L1P-Apr13-C-Windy_q2_01-07_30fps.mp4,1,858,480,30,30,30,30,Marina15P:Cindy14P:Carmen13P:Marta12P,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,TN:TN:TN:TN,0.0: 0.0: 0.0: 0.0
G-C1L1P-Apr13-C-Windy_q2_01-07_30fps.mp4,2,858,480,30,60,30,60,Marina15P:Cindy14P:Carmen13P:Marta12P,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,TN:TN:TN:TN,0.0: 0.0: 0.0: 0.0
G-C1L1P-Apr13-C-Windy_q2_01-07_30fps.mp4,3,858,480,30,90,30,90,Marina15P:Cindy14P:Carmen13P:Marta12P,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,TN:TN:TN:TN,0.0: 0.0: 0.0: 0.0
G-C1L1P-Apr13-C-Windy_q2_01-07_30fps.mp4,4,858,480,30,120,30,120,Marina15P:Cindy14P:Carmen13P:Marta12P,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,TN:TN:TN:TN,0.0: 0.0: 0.0: 0.0
G-C1L1P-Apr13-C-Windy_q2_01-07_30fps.mp4,5,858,480,30,150,30,150,Marina15P:Cindy14P:Carmen13P:Marta12P,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,TN:TN:TN:TN,0.0: 0.0: 0.0: 0.0
G-C1L1P-Apr13-C-Windy_q2_01-07_30fps.mp4,6,858,480,30,180,30,180,Marina15P:Cindy14P:Carmen13P:Marta12P,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,TN:TN:TN:TN,0.0: 0.0: 0.0: 0.0
G-C1L1P-Apr13-C-Windy_q2_01-07_30fps.mp4,7,858,480,30,210,30,210,Marina15P:Cindy14P:Carmen13P:Marta12P,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,TN:TN:TN:TN,0.0: 0.0: 0.0: 0.0
G-C1L1P-Apr13-C-Windy_q2_01-07_30fps.mp4,8,858,480,30,240,30,240,Marina15P:Cindy14P:Carmen13P:Marta12P,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,TN:TN:TN:TN,0.0: 0.0: 0.0: 0.0
G-C1L1P-Apr13-C-Windy_q2_01-07_30fps.mp4,9,858,480,30,270,30,270,Marina15P:Cindy14P:Carmen13P:Marta12P,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,0-0-0-0 :0-0-0-0 :0-0-0-0 :0-0-0-0,no_typing :no_typing :no_typing :no_typing,0 :0 :0 :0,TN:TN:TN:TN,0.0: 0.0: 0.0: 0.0
