Time,Cindy,Carmen,Marta,Marina,Kelly,Windy,f0,video_names,f
0 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,0,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.04 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,30,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.08 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,60,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.12 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,90,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.16 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,120,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.2 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,150,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.24 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,180,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.28 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,210,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.32 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,240,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.36 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,270,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.4 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,300,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.44 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,330,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.48 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,360,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.52 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,390,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.56 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,420,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.6 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,450,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.64 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,480,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.68 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,510,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.72 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,540,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.76 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,570,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.8 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,600,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.84 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,630,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.88 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,660,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
0.92 sec,170-306-181-115,216-229-138-82,577-335-183-137,561-236-122-86,377-211-108-46,,690,G-C1L1P-Mar30-C-Kelly_q2_01-06_30fps.mp4,30
